,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
6577,1890,2006,60,7.745966692414834,"coat, polym",2.0,1.4142135623730951,3.8528911472500282
6578,1897,2006,50,7.0710678118654755,"coat, polym",3.0,1.7320508075688772,4.394702682162222
6582,1904,2006,24,4.898979485566356,"coat, polym",0.0,0.0,-3.241933770180026
6583,1904,2006,10,3.1622776601683795,"coat, polym",4.0,2.0,2.6685929894449973
6585,1911,2006,12,3.4641016151377544,"coat, polym",0.0,0.0,0.41751249294956727
6589,1918,2006,35,5.916079783099616,"coat, polym",2.0,1.4142135623730951,2.9337211750946026
6590,1918,2006,4,2.0,"coat, polym",2.0,1.4142135623730951,1.1771236172585586
6591,1918,2006,37,6.082762530298219,"coat, polym",2.0,1.4142135623730951,2.443744890815547
6602,1939,2006,21,4.58257569495584,"coat, polym",1.0,1.0,0.7796702266241848
6604,1946,2006,28,5.291502622129181,"coat, polym",0.0,0.0,-4.476501342549573
6611,1953,2006,25,5.0,"coat, polym",4.0,2.0,2.044590563615392
6616,1960,2006,27,5.196152422706632,"coat, polym",0.0,0.0,-1.741494598997582
6619,1974,2007,20,4.47213595499958,"coat, polym",0.0,0.0,-1.5022038790238583
6625,1981,2007,3,1.7320508075688772,"coat, polym",3.0,1.7320508075688772,-3.230686691683076
6626,1981,2007,1,1.0,"coat, polym",1.0,1.0,3.1810569667915427
6634,2002,2007,5,2.23606797749979,"coat, polym",11.0,3.3166247903554,3.1556471551360183
6635,2002,2007,25,5.0,"coat, polym",2.0,1.4142135623730951,-2.2456340602481886
6636,2002,2007,10,3.1622776601683795,"coat, polym",0.0,0.0,3.384618537222276
6645,2030,2007,9,3.0,"coat, polym",0.0,0.0,2.8302049737418793
6647,2030,2007,18,4.242640687119285,"coat, polym",2.0,1.4142135623730951,-1.5573733297139747
6650,2037,2007,13,3.605551275463989,"coat, polym",5.0,2.23606797749979,-1.2867760518191804
6655,2051,2007,5,2.23606797749979,"coat, polym",4.0,2.0,4.931480711210227
6666,2072,2007,6,2.449489742783178,"coat, polym",0.0,0.0,4.315415247231582
6667,2079,2007,28,5.291502622129181,"coat, polym",0.0,0.0,2.4641870926117795
6671,2086,2007,17,4.123105625617661,"coat, polym",2.0,1.4142135623730951,2.5123813737777287
6672,2086,2007,12,3.4641016151377544,"coat, polym",7.0,2.6457513110645907,-2.090250157824857
6676,2086,2007,21,4.58257569495584,"coat, polym",6.0,2.449489742783178,-0.7120122742172839
6678,2093,2007,17,4.123105625617661,"coat, polym",0.0,0.0,0.18315065136852515
6684,2093,2007,2,1.4142135623730951,"coat, polym",0.0,0.0,-1.654044573057094
6691,2107,2007,27,5.196152422706632,"coat, polym",6.0,2.449489742783178,2.861555552946858
6695,2121,2007,55,7.416198487095663,"coat, polym",0.0,0.0,3.730188970157118
6699,2128,2007,31,5.5677643628300215,"coat, polym",1.0,1.0,3.0923954950207655
6700,2128,2007,19,4.358898943540674,"coat, polym",1.0,1.0,3.820017851473244
6703,2135,2007,4,2.0,"coat, polym",2.0,1.4142135623730951,3.793621072544865
6704,2135,2007,7,2.6457513110645907,"coat, polym",4.0,2.0,2.6974326631577825
6707,2142,2007,10,3.1622776601683795,"coat, polym",0.0,0.0,4.977832823352568
6719,2163,2007,4,2.0,"coat, polym",0.0,0.0,2.332011872070401
6720,2177,2007,40,6.324555320336759,"coat, polym",1.0,1.0,2.0102974375165306
6724,2184,2007,45,6.708203932499369,"coat, polym",0.0,0.0,3.9348052548735737
6725,2191,2007,11,3.3166247903554,"coat, polym",1.0,1.0,1.1066766965808064
6729,2205,2007,6,2.449489742783178,"coat, polym",0.0,0.0,2.4031338454340547
6735,2219,2007,36,6.0,"coat, polym",0.0,0.0,1.661353238127799
6736,2219,2007,30,5.477225575051661,"coat, polym",1.0,1.0,-0.6532078386465123
6739,2219,2007,24,4.898979485566356,"coat, polym",2.0,1.4142135623730951,1.1643488307053793
6747,2233,2007,11,3.3166247903554,"coat, polym",0.0,0.0,0.7310856500719682
6749,2233,2007,17,4.123105625617661,"coat, polym",4.0,2.0,2.6599840141473843
6753,2247,2007,63,7.937253933193772,"coat, polym",0.0,0.0,4.272685092067455
6755,2247,2007,17,4.123105625617661,"coat, polym",0.0,0.0,2.0097445383276415
6756,2254,2007,16,4.0,"coat, polym",4.0,2.0,-3.866555829463723
6757,2254,2007,20,4.47213595499958,"coat, polym",1.0,1.0,2.8369521543072906
6758,2254,2007,7,2.6457513110645907,"coat, polym",0.0,0.0,3.6217040977635855
6762,2261,2007,26,5.0990195135927845,"coat, polym",1.0,1.0,2.5218496708477938
6765,2268,2007,18,4.242640687119285,"coat, polym",0.0,0.0,-3.3168635473148176
6773,2282,2007,28,5.291502622129181,"coat, polym",0.0,0.0,2.3326318352081388
6776,2296,2007,19,4.358898943540674,"coat, polym",0.0,0.0,1.507185566305323
6777,2296,2007,20,4.47213595499958,"coat, polym",1.0,1.0,2.6358120972896284
6778,2296,2007,24,4.898979485566356,"coat, polym",0.0,0.0,2.099113011457242
6781,2296,2007,11,3.3166247903554,"coat, polym",1.0,1.0,1.6322645146433712
6782,2303,2007,10,3.1622776601683795,"coat, polym",1.0,1.0,5.9048199518780145
6785,2310,2007,9,3.0,"coat, polym",1.0,1.0,2.258616631125597
6786,2317,2007,21,4.58257569495584,"coat, polym",10.0,3.1622776601683795,3.0253909936504004
6788,2324,2007,5,2.23606797749979,"coat, polym",4.0,2.0,2.0182731516108547
6792,2331,2007,9,3.0,"coat, polym",0.0,0.0,-1.522615460277153
6798,2359,2008,10,3.1622776601683795,"coat, polym",0.0,0.0,2.1868962180131284
